problem solver;tpagent;tpagent;CheckersTP@gmail.com;Support
Easy Bot;Easy;EasyBot;Easybot@gmail.com;Player
Medium Bot;Medium;MediumBot;Mediumbot@gmail.com;Player
Hard Bot;Hard;HardBot;Hardbot@gmail.com;Player
ZXC(dead inside);deadinside;zxcqwe123;ghoulZXC@gmail.com;Player
roflanHmm;roflan;Rofl123;roflan12322@gmail.com;Player
CHINATHEBEST;CHINANUMBERONE;MaoTseTung;thebest@gmail.com;Player
Hailrake;Arthas;55juse55;spiteful@gmail.com;Player
AI_avenger;skynet;papich123;papichdadaya@gmail.com;Player
BillyReady;billyUp;throwmesomenumbers;Herrington@gmail.com;Player
BOSS of the forum;boss;bossofthegym;bigboss@gmail.com;Moderator
news editor;redactor;redactor;CheckersNews@gmail.com;Editor
